time,open,high,low,close,Volume
2026-05-10T23:41:00-05:00,29333.75,29333.75,29330,29331,36
2026-05-10T23:42:00-05:00,29332,29335.5,29332,29335.5,19
2026-05-10T23:43:00-05:00,29335.75,29335.75,29333,29333.25,21
2026-05-10T23:44:00-05:00,29333.5,29335,29331.75,29334,35
2026-05-10T23:45:00-05:00,29334.25,29337,29332.75,29334.25,36
2026-05-10T23:46:00-05:00,29333.75,29334.25,29331.25,29331.5,17
2026-05-10T23:47:00-05:00,29331,29332.25,29329.75,29331.5,38
2026-05-10T23:48:00-05:00,29331,29334.25,29331,29334.25,30
2026-05-10T23:49:00-05:00,29333.5,29334.25,29331.25,29331.25,11
2026-05-10T23:50:00-05:00,29331.5,29339.25,29331,29338.25,48
2026-05-10T23:51:00-05:00,29338.5,29338.75,29334.5,29336.5,46
2026-05-10T23:52:00-05:00,29336.5,29340,29335.5,29339.5,23
2026-05-10T23:53:00-05:00,29340,29340,29335.75,29339,83
2026-05-10T23:54:00-05:00,29339.5,29342.25,29338.25,29342.25,77
2026-05-10T23:55:00-05:00,29341.75,29344.25,29340.75,29344,49
2026-05-10T23:56:00-05:00,29343.25,29343.75,29339.25,29340.25,32
2026-05-10T23:57:00-05:00,29341.25,29342.5,29338.5,29340,39
2026-05-10T23:58:00-05:00,29340.5,29341,29338.25,29339.5,21
2026-05-10T23:59:00-05:00,29339.25,29342.25,29339,29342.25,20
2026-05-11T00:00:00-05:00,29342.25,29345.25,29336.5,29338.5,100
2026-05-11T00:01:00-05:00,29338.25,29343.75,29337.5,29342.25,43
2026-05-11T00:02:00-05:00,29342.75,29343.25,29340.75,29343.25,32
2026-05-11T00:03:00-05:00,29342.5,29344.25,29341.5,29343.25,45
2026-05-11T00:04:00-05:00,29343.5,29347.5,29343,29344.25,80
2026-05-11T00:05:00-05:00,29343,29345.75,29341,29345.25,35
2026-05-11T00:06:00-05:00,29344.75,29344.75,29337.75,29337.75,61
2026-05-11T00:07:00-05:00,29338,29339,29331.25,29334,105
2026-05-11T00:08:00-05:00,29334.5,29335.25,29331,29332.75,47
2026-05-11T00:09:00-05:00,29333.25,29336,29332.5,29335,26
2026-05-11T00:10:00-05:00,29333.25,29338,29333.25,29337,33
2026-05-11T00:11:00-05:00,29336.75,29338.75,29332.25,29335,61
2026-05-11T00:12:00-05:00,29334,29338.25,29332,29338,56
2026-05-11T00:13:00-05:00,29338.5,29339.75,29336.75,29337.5,50
2026-05-11T00:14:00-05:00,29339,29339.25,29335,29336.5,44
2026-05-11T00:15:00-05:00,29336.75,29338.75,29333.75,29334.75,66
2026-05-11T00:16:00-05:00,29333.5,29336.75,29329.25,29329.5,62
